Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
24000,24000,0.1581,60,small_business,0.62%,NY,OWN,10000,725-729,8,0,3,10+ years,725
19800,19775,0.1531,60,debt_consolidation,15.03%,IL,MORTGAGE,6666.67,675-679,10,46879,3,6 years,675
9250,6475,0.1075,60,small_business,3.41%,CA,MORTGAGE,8500,755-759,6,105060,0,4 years,755
6000,6000,0.1596,36,debt_consolidation,6.38%,NC,MORTGAGE,6916.67,660-664,7,6309,1,6 years,660
3500,3500,0.1531,36,other,7.14%,NY,RENT,5000,685-689,2,14064,0,1 year,685
7200,5675,0.1482,36,debt_consolidation,9.67%,CA,RENT,4500,645-649,7,6572,1,6 years,645
12000,12000,0.0603,36,medical,22.57%,MT,MORTGAGE,7500,760-764,8,5116,0,10+ years,760
20000,20000,0.079,36,credit_card,13.59%,CA,RENT,7258.33,730-734,5,14268,0,9 years,730
3900,3900,0.1212,36,debt_consolidation,7.55%,HI,MORTGAGE,2583.33,685-689,8,3724,0,1 year,685
16000,16000,0.1922,60,credit_card,21.28%,NC,RENT,3416.67,680-684,8,26060,1,10+ years,680
15000,15000,0.1599,36,other,11.34%,SC,MORTGAGE,8583.33,675-679,6,3844,2,7 years,675
28200,28200,0.205,60,debt_consolidation,15.60%,NY,MORTGAGE,4833.33,695-699,18,27158,0,9 years,695
15000,14975,0.1349,36,small_business,3.44%,AK,RENT,6666.67,705-709,3,2698,0,< 1 year,705
7400,7400,0.1399,36,other,20.52%,NY,RENT,4166.25,675-679,17,6653,1,n/a,675
15000,15000,0.1059,36,debt_consolidation,14.66%,MA,RENT,5150,730-734,9,5116,2,2 years,730
4500,4500,0.0599,36,debt_consolidation,21.46%,NY,RENT,3644.83,765-769,8,1058,2,< 1 year,765
3000,3000,0.1409,36,debt_consolidation,12.36%,NC,RENT,4789.33,680-684,9,1353,2,10+ years,680
9000,9000,0.1427,36,debt_consolidation,18.74%,TX,RENT,5833.33,675-679,13,11637,3,8 years,675
4000,4000,0.089,36,credit_card,24.11%,FL,RENT,4583.33,705-709,17,11351,0,1 year,705
10000,10000,0.1727,36,credit_card,21.84%,MI,MORTGAGE,2916.67,665-669,18,21245,0,10+ years,665
6400,6400,0.1599,60,debt_consolidation,24.43%,NY,RENT,3500,690-694,9,973,0,4 years,690
4325,4325,0.1016,36,debt_consolidation,1.79%,GA,MORTGAGE,11000,715-719,9,75,3,n/a,715
12000,12000,0.1311,36,debt_consolidation,17.04%,WA,MORTGAGE,4583.33,695-699,9,41871,0,3 years,695
10000,10000,0.1531,36,debt_consolidation,10.40%,CA,RENT,9000,665-669,12,5141,0,10+ years,665
12000,12000,0.1016,36,home_improvement,8.05%,MA,MORTGAGE,6250,720-724,9,11626,0,< 1 year,720
6000,6000,0.1212,36,debt_consolidation,4.94%,WI,MORTGAGE,4333.33,690-694,12,9656,2,5 years,690
2200,2200,0.1349,36,debt_consolidation,3.27%,WA,OWN,6666.67,700-704,2,10142,0,5 years,700
5000,5000,0.1427,36,debt_consolidation,17%,FL,OWN,5000,670-674,9,14748,3,1 year,670
12000,12000,0.1969,60,debt_consolidation,16.23%,NV,RENT,3376,665-669,12,8437,1,4 years,665
3000,3000,0.079,36,credit_card,22.03%,PA,MORTGAGE,5583.33,705-709,15,12968,0,3 years,705
30000,30000,0.2149,60,debt_consolidation,16.89%,NY,MORTGAGE,13999.17,700-704,14,61579,0,10+ years,700
10800,10800,0.1212,36,debt_consolidation,26.70%,NJ,RENT,5833.33,695-699,6,27585,0,5 years,695
10500,10500,0.1825,36,debt_consolidation,11.52%,GA,MORTGAGE,8750,660-664,15,9984,3,8 years,660
10000,10000,0.0662,36,debt_consolidation,5.49%,CA,MORTGAGE,10833.33,755-759,5,40827,0,7 years,755
24000,23950,0.1212,36,debt_consolidation,26.68%,TX,MORTGAGE,5791.67,715-719,13,34104,0,10+ years,715
16000,16000,0.1409,36,debt_consolidation,2.85%,CA,MORTGAGE,3333.33,690-694,6,3909,0,7 years,690
15000,15000,0.1399,36,debt_consolidation,12.60%,MI,MORTGAGE,3500,705-709,7,13036,1,10+ years,705
9500,9500,0.2198,36,other,16.01%,PA,RENT,4500,660-664,7,3673,1,3 years,660
35000,35000,0.1905,36,debt_consolidation,15.75%,FL,MORTGAGE,18750,690-694,21,73813,1,4 years,690
5000,5000,0.079,36,debt_consolidation,21.82%,TX,MORTGAGE,4166.67,725-729,8,15502,1,n/a,725
15000,15000,0.1171,36,debt_consolidation,11.70%,FL,RENT,6250,700-704,6,6622,0,6 years,700
5000,5000,0.1531,36,debt_consolidation,17.37%,GA,RENT,1750,675-679,3,10361,0,< 1 year,675
19000,18975,0.1114,36,debt_consolidation,19.83%,CA,RENT,4548.83,775-779,12,33809,1,5 years,775
11625,11625,0.158,36,debt_consolidation,31.12%,OK,RENT,2860,680-684,14,8374,2,7 years,680
25000,25000,0.0762,36,wedding,13.45%,NY,RENT,6750,750-754,16,17193,0,5 years,750
8000,8000,0.1269,36,debt_consolidation,7.67%,AL,OWN,7916.67,685-689,4,1442,0,6 years,685
9800,9675,0.0859,36,major_purchase,14.99%,HI,MORTGAGE,3583.33,760-764,12,5164,0,3 years,760
6000,5975,0.08,36,wedding,1.06%,NY,RENT,5000,765-769,6,7161,0,3 years,765
10200,10200,0.1242,36,debt_consolidation,17.86%,CO,MORTGAGE,5833.33,705-709,9,9817,2,4 years,705
10500,10500,0.0662,36,medical,16.26%,OK,MORTGAGE,4853.33,760-764,9,2816,1,3 years,760
5000,5000,0.079,36,small_business,7.75%,IL,MORTGAGE,5500,725-729,11,16396,3,< 1 year,725
17500,17500,0.079,36,small_business,7.97%,CA,RENT,5416.67,810-814,4,17,0,< 1 year,810
4000,4000,0.1903,36,other,10.56%,CA,RENT,1600,685-689,2,299,0,6 years,685
22000,22000,0.1212,36,debt_consolidation,16.93%,NY,RENT,3916.67,715-719,4,22142,0,1 year,715
5000,4900,0.0579,36,other,9.18%,NY,RENT,5520,750-754,10,7351,0,7 years,750
8000,8000,0.1629,36,credit_card,29.19%,IL,MORTGAGE,6916.67,685-689,14,21498,2,4 years,685
19125,19125,0.1849,60,other,29.10%,GA,RENT,4166.67,700-704,14,28108,3,6 years,700
16000,16000,0.1212,36,debt_consolidation,18.23%,NY,RENT,4166.67,700-704,14,16309,0,1 year,700
4500,4500,0.1459,36,vacation,17.35%,NY,OWN,6000,660-664,18,5197,4,2 years,660
5800,5800,0.2245,60,other,11.86%,CA,RENT,1416.67,665-669,3,6077,2,6 years,665
10000,525,0.147,36,credit_card,6.37%,FL,RENT,5416.67,645-649,4,2211,6,< 1 year,645
16750,16750,0.1875,36,debt_consolidation,8.84%,FL,MORTGAGE,5666.67,680-684,8,13567,1,4 years,680
3600,3600,0.1212,36,debt_consolidation,27.16%,CA,OWN,3333.33,695-699,15,12153,1,10+ years,695
10000,10000,0.1562,36,debt_consolidation,12.19%,NY,RENT,7500,670-674,12,17133,1,10+ years,670
6000,6000,0.0542,36,vacation,1.51%,MD,OWN,4250,800-804,14,1838,0,10+ years,800
10000,10000,0.0762,36,medical,13.26%,MN,MORTGAGE,7416.67,735-739,12,16297,2,10+ years,735
10000,10000,0.1777,36,credit_card,5.80%,CO,RENT,7166.67,685-689,3,15279,1,10+ years,685
5000,5000,0.0749,36,home_improvement,16.45%,VA,MORTGAGE,18750,745-749,10,129071,0,10+ years,745
35000,34950,0.2376,60,debt_consolidation,24.22%,NY,RENT,7331.25,665-669,16,28687,2,4 years,665
7000,7000,0.079,36,wedding,20.72%,CT,RENT,6000,715-719,9,6659,0,< 1 year,715
3000,1647.62,0.102,36,major_purchase,0.33%,CT,RENT,4583.33,800-804,3,37,0,< 1 year,800
28000,28000,0.1562,36,debt_consolidation,5.70%,GA,MORTGAGE,6250,695-699,6,11923,1,3 years,695
15200,6800,0.1558,60,home_improvement,19.22%,DC,MORTGAGE,12083.33,690-694,20,19712,2,2 years,690
15775,15775,0.1465,36,other,3.37%,NY,RENT,4000,710-714,11,4058,1,10+ years,710
30000,22425,0.1059,36,home_improvement,8.15%,MN,MORTGAGE,22916.67,765-769,13,1945,0,4 years,765
3000,3000,0.0991,36,wedding,4.75%,IL,OWN,4166.67,710-714,9,7321,3,6 years,710
15350,15350,0.1849,36,debt_consolidation,15.09%,GA,MORTGAGE,4400,670-674,7,12823,0,10+ years,670
26500,26500,0.0976,60,small_business,17.19%,NY,MORTGAGE,5416.67,785-789,13,9966,0,10+ years,785
6400,6400,0.06,60,home_improvement,3.09%,FL,MORTGAGE,6250,695-699,5,241,0,3 years,695
13200,13200,0.1433,36,debt_consolidation,28.75%,CA,RENT,3833.33,695-699,9,8568,1,10+ years,695
12000,12000,0.1149,36,debt_consolidation,17.73%,CA,MORTGAGE,7300,705-709,9,38342,0,4 years,705
4000,4000,0.0603,36,car,33.67%,GA,MORTGAGE,7917,800-804,19,55123,1,10+ years,800
2500,2500,0.0662,36,home_improvement,10.96%,MD,MORTGAGE,6166.67,730-734,14,24495,0,10+ years,730
28000,27925,0.1855,36,debt_consolidation,8.99%,LA,MORTGAGE,6666.67,700-704,6,14189,2,n/a,700
9000,8975,0.089,36,debt_consolidation,7.33%,CA,RENT,12500,730-734,4,12964,0,5 years,730
6600,6600,0.0603,36,home_improvement,16.69%,NC,MORTGAGE,6250,750-754,14,17258,0,10+ years,750
27050,27050,0.1727,60,credit_card,27.59%,WA,MORTGAGE,5025,705-709,13,40037,1,10+ years,705
4800,4800,0.1599,36,major_purchase,0%,IL,RENT,4583.33,675-679,2,0,0,6 years,675
7550,7550,0.1016,36,debt_consolidation,3.83%,CA,MORTGAGE,8333.33,710-714,10,10204,0,2 years,710
10000,10000,0.0774,36,debt_consolidation,0.17%,OR,MORTGAGE,7083.33,775-779,9,2994,0,10+ years,775
12500,12275,0.1126,36,credit_card,12.21%,TX,RENT,4333.33,730-734,6,12568,2,8 years,730
27575,27575,0.1905,36,debt_consolidation,19.30%,WI,RENT,5166.67,660-664,6,14935,1,10+ years,660
20000,20000,0.1311,36,debt_consolidation,3.94%,IL,MORTGAGE,7238.92,720-724,6,11751,3,10+ years,720
15000,14900,0.1461,36,major_purchase,9.17%,TX,RENT,3000,730-734,8,0,2,< 1 year,730
18000,18000,0.089,36,home_improvement,12.79%,NV,MORTGAGE,10500,730-734,15,4856,2,< 1 year,730
5400,5375,0.089,36,small_business,6.27%,OH,RENT,3000,785-789,2,90,2,n/a,785
23000,22950,0.1581,36,credit_card,16.02%,CA,RENT,7083.33,695-699,8,9664,2,4 years,695
8000,7950,0.0579,36,home_improvement,19.65%,FL,OWN,5833.33,770-774,8,0,0,3 years,770
3000,2950,0.1269,36,debt_consolidation,4.25%,SC,OWN,1200,705-709,4,1643,0,< 1 year,705
7200,7200,0.0692,36,credit_card,11.72%,RI,MORTGAGE,7083.33,780-784,6,15933,1,3 years,780
15350,15350,0.158,36,credit_card,7.41%,CO,MORTGAGE,5666.67,670-674,6,8128,0,1 year,670
6000,6000,0.1212,36,wedding,21.21%,GA,RENT,3333.33,685-689,8,4638,0,2 years,685
15000,8081.65,0.1316,36,debt_consolidation,13.16%,GA,MORTGAGE,2583.33,755-759,3,4923,2,9 years,755
5000,5000,0.1268,60,moving,12.59%,NY,RENT,4416.67,690-694,13,7686,0,< 1 year,690
2575,2575,0.0676,36,educational,4.80%,MA,RENT,6875,760-764,6,4678,2,3 years,760
1800,1800,0.1367,36,vacation,24.21%,NY,RENT,4250,670-674,11,5757,0,5 years,670
10000,10000,0.1409,36,other,26.44%,WA,MORTGAGE,5416.67,700-704,6,18652,1,6 years,700
7750,7750,0.1074,36,debt_consolidation,6.51%,UT,MORTGAGE,2916.67,705-709,5,6889,0,6 years,705
12000,12000,0.1629,36,debt_consolidation,28.76%,CT,RENT,5666.67,660-664,21,16822,2,3 years,660
10000,10000,0.0603,36,debt_consolidation,16%,KY,MORTGAGE,8333.33,780-784,11,14832,0,10+ years,780
4950,4950,0.1367,36,debt_consolidation,14.11%,CA,MORTGAGE,4166.67,665-669,15,8379,0,5 years,665
8400,8350,0.0603,36,medical,15.34%,WA,MORTGAGE,3200,760-764,6,10576,0,n/a,760
3500,3500,0.1212,36,other,17.82%,CA,MORTGAGE,5416.67,695-699,15,4067,3,< 1 year,695
12000,12000,0.1629,36,credit_card,18.37%,TX,MORTGAGE,7083.33,665-669,16,16993,2,7 years,665
18000,18000,0.2247,60,credit_card,17.17%,OH,MORTGAGE,5562.92,660-664,13,14866,3,7 years,660
14675,14650,0.1299,60,debt_consolidation,29.18%,FL,RENT,3167,725-729,7,21088,1,6 years,725
13000,13000,0.1409,36,credit_card,16.09%,CT,RENT,3250,675-679,6,6930,0,2 years,675
15000,15000,0.1311,36,debt_consolidation,33.12%,NY,RENT,4166.67,695-699,10,13198,0,9 years,695
8250,8205.63,0.0932,36,credit_card,24.45%,OH,MORTGAGE,3300,755-759,17,29576,2,8 years,755
6900,6900,0.1409,36,credit_card,17.78%,AR,OWN,4166.67,685-689,9,9720,1,10+ years,685
35000,35000,0.2049,60,debt_consolidation,12.54%,PA,MORTGAGE,10416.67,685-689,14,26487,4,2 years,685
25000,23995.24,0.1062,36,debt_consolidation,12.21%,VA,RENT,11166.67,750-754,6,28556,0,7 years,750
9600,9600,0.1114,36,debt_consolidation,20.58%,NV,MORTGAGE,3833.33,705-709,9,44403,1,5 years,705
9000,8975,0.0662,36,debt_consolidation,17.11%,NY,MORTGAGE,6750,755-759,7,12553,2,7 years,755
6500,6500,0.089,36,credit_card,31.45%,CO,MORTGAGE,6000,740-744,14,61865,2,< 1 year,740
1750,1750,0.1114,36,credit_card,8.02%,CA,RENT,1833.33,720-724,4,1838,0,2 years,720
5000,5000,0.0542,36,wedding,23.15%,OH,RENT,2833.33,750-754,7,4573,0,3 years,750
6000,6000,0.158,36,debt_consolidation,16.40%,GA,RENT,2500,670-674,5,5892,1,4 years,670
25000,25000,0.1409,36,debt_consolidation,19.13%,CA,RENT,6083.33,700-704,19,14666,0,10+ years,700
13000,13000,0.1433,36,debt_consolidation,11.08%,MN,MORTGAGE,3358.33,690-694,7,6327,1,10+ years,690
5875,5875,0.079,36,other,14.75%,NV,RENT,5416.67,720-724,15,2617,2,4 years,720
5000,5000,0.1629,36,debt_consolidation,20.77%,VA,RENT,4583.33,660-664,19,11991,1,6 years,660
16000,7925,0.1645,60,debt_consolidation,16.66%,MO,MORTGAGE,5500,680-684,6,6842,0,9 years,680
12000,12000,0.0962,60,small_business,14.12%,GA,MORTGAGE,6666.67,730-734,10,6969,1,4 years,730
35000,35000,0.1212,36,debt_consolidation,19.90%,FL,MORTGAGE,13933.33,720-724,18,24288,0,1 year,720
4800,4775,0.0579,36,car,11.71%,NJ,RENT,2800,735-739,6,9228,0,3 years,735
6500,6500,0.1111,36,credit_card,13.98%,WY,MORTGAGE,2253,680-684,11,7558,1,2 years,680
25000,25000,0.1306,36,other,4.14%,MI,MORTGAGE,11500,735-739,4,6578,0,< 1 year,735
1000,1000,0.0762,36,debt_consolidation,5.59%,MD,MORTGAGE,9333.33,785-789,6,350,4,2 years,785
16000,16000,0.1348,36,debt_consolidation,15.17%,KY,MORTGAGE,4166.67,700-704,6,1962,1,2 years,700
7675,2275,0.1513,36,other,18.08%,TX,MORTGAGE,11666.67,645-649,13,12578,0,9 years,645
13600,13600,0.089,36,debt_consolidation,10.94%,WA,RENT,10000,720-724,15,18028,0,10+ years,720
12000,12000,0.1531,36,debt_consolidation,32.91%,CA,RENT,5500,680-684,21,13559,1,3 years,680
15000,15000,0.1037,36,house,26.72%,AL,MORTGAGE,5250,750-754,11,44850,1,10+ years,750
7125,7125,0.1849,36,debt_consolidation,11.18%,CT,MORTGAGE,5636.75,675-679,14,5383,2,8 years,675
35000,34977.35,0.2167,60,house,14.25%,CA,RENT,20833.33,675-679,12,79792,0,6 years,675
11575,11575,0.1311,60,debt_consolidation,18.37%,NY,MORTGAGE,3750,725-729,12,18790,1,10+ years,725
5000,5000,0.074,36,major_purchase,14.22%,GA,RENT,6000,780-784,7,1751,0,6 years,780
5000,5000,0.0762,36,debt_consolidation,3.04%,NY,OWN,2500,735-739,5,4864,0,3 years,735
5000,527.49,0.1324,36,debt_consolidation,13.28%,NJ,RENT,4833,660-664,10,9816,0,4 years,660
7000,7000,0.079,36,debt_consolidation,12.61%,VA,MORTGAGE,6250,720-724,13,19848,0,10+ years,720
20000,16755.89,0.145,36,debt_consolidation,25.40%,MN,MORTGAGE,6916.67,715-719,10,26938,0,10+ years,715
7000,7000,0.0692,36,debt_consolidation,17.15%,CA,RENT,4583.33,735-739,13,6897,0,5 years,735
20000,19900,0.1025,36,debt_consolidation,17.51%,DE,MORTGAGE,7833.33,760-764,14,49898,0,5 years,760
6000,6000,0.079,36,major_purchase,20.13%,PA,MORTGAGE,7750,725-729,16,7533,1,8 years,725
14000,14000,0.0766,36,major_purchase,10.68%,FL,MORTGAGE,21666.67,735-739,14,13850,3,1 year,735
30000,30000,0.1905,36,debt_consolidation,14.77%,CO,MORTGAGE,9166.67,685-689,20,22299,1,< 1 year,685
18225,18200,0.1758,36,debt_consolidation,24.64%,TX,MORTGAGE,5000,660-664,12,16398,2,7 years,660
12000,12000,0.0729,36,other,16.15%,VA,MORTGAGE,11667,720-724,9,113671,0,4 years,720
10000,10000,0.1212,36,debt_consolidation,12.99%,CA,MORTGAGE,5833.33,690-694,8,13885,0,6 years,690
16300,16275,0.1491,36,credit_card,24.17%,FL,MORTGAGE,5222,675-679,11,40988,1,10+ years,675
11000,2116.76,0.1387,36,debt_consolidation,20.93%,NY,OWN,4167,670-674,14,17436,0,2 years,670
25000,20850,0.1558,60,small_business,0.60%,CA,MORTGAGE,5666.67,785-789,2,0,4,10+ years,785
24000,24000,0.1212,36,debt_consolidation,29.01%,MD,MORTGAGE,7500,670-674,12,14804,1,< 1 year,670
6000,6000,0.0749,36,major_purchase,8.81%,NY,OWN,2462.75,715-719,11,8644,0,2 years,715
10000,9975,0.1149,60,debt_consolidation,22.69%,NV,MORTGAGE,5623.33,765-769,11,26898,1,10+ years,765
2000,2000,0.089,36,car,23.70%,MI,OWN,3000,730-734,5,2117,1,10+ years,730
6625,6600,0.1114,36,credit_card,10.12%,PA,OWN,1916.67,690-694,10,5449,0,n/a,690
20000,6350.01,0.1671,36,debt_consolidation,20.83%,NY,RENT,5333.33,660-664,11,11881,4,1 year,660
12000,11925,0.0963,36,other,9.12%,WA,MORTGAGE,6250,745-749,8,5212,2,1 year,745
4200,4200,0.0729,36,debt_consolidation,6.58%,IL,RENT,5133.33,765-769,4,5475,1,4 years,765
6950,6875,0.1311,36,other,12.51%,TX,MORTGAGE,7916.67,715-719,5,1593,4,10+ years,715
6000,6000,0.0751,36,major_purchase,4.74%,IL,MORTGAGE,10916,765-769,18,6317,4,6 years,765
8400,8400,0.1099,36,debt_consolidation,24.85%,CA,MORTGAGE,7583,700-704,9,342,0,< 1 year,700
5000,5000,0.0788,36,home_improvement,16.61%,NJ,MORTGAGE,5833.33,725-729,18,19771,2,10+ years,725
4750,4750,0.1016,36,credit_card,32.49%,MO,MORTGAGE,3500,695-699,15,36512,0,10+ years,695
15000,14925,0.1075,60,moving,17.55%,NY,RENT,5761,785-789,12,2691,2,10+ years,785
12000,12000,0.1629,36,home_improvement,5.07%,WI,MORTGAGE,2916.67,670-674,13,10360,2,5 years,670
4000,0,0.0768,36,other,10.74%,GA,RENT,3417,790-794,11,2775,3,1 year,790
12800,12700,0.1261,60,debt_consolidation,9.02%,FL,RENT,5166.67,725-729,7,7942,0,5 years,725
12000,11950,0.089,60,car,9.75%,CA,MORTGAGE,9866,795-799,9,2787,0,4 years,795
9425,9425,0.1349,36,credit_card,15.71%,CA,RENT,3750,670-674,12,15116,0,8 years,670
28000,28000,0.1242,36,debt_consolidation,2.98%,NY,MORTGAGE,27083.33,730-734,5,12888,1,5 years,730
30000,29975,0.21,60,debt_consolidation,17.12%,TX,MORTGAGE,8666.67,710-714,8,47503,0,6 years,710
9600,9600,0.1839,36,debt_consolidation,14.69%,VA,MORTGAGE,5166.67,660-664,8,13041,1,10+ years,660
7800,7242.07,0.1284,36,debt_consolidation,16.77%,NY,RENT,6000,695-699,8,13835,0,4 years,695
12000,12000,0.1065,36,debt_consolidation,26.06%,GA,RENT,5833.33,720-724,15,24893,3,10+ years,720
9600,9600,0.1531,36,debt_consolidation,12.82%,PA,MORTGAGE,6000,675-679,13,11407,2,10+ years,675
6000,6000,0.1062,36,credit_card,23.38%,VA,MORTGAGE,5000,705-709,15,46125,1,2 years,705
7500,7500,0.1111,60,debt_consolidation,23.63%,NY,RENT,1820,720-724,13,4409,2,2 years,720
7000,6950,0.0603,36,debt_consolidation,8.29%,FL,OWN,2750,760-764,8,10860,0,4 years,760
10000,10000,0.1171,36,debt_consolidation,5.85%,NY,RENT,4333.33,685-689,8,7072,0,10+ years,685
3200,2799.99,0.1261,36,credit_card,16.72%,CA,MORTGAGE,6476,665-669,14,80837,4,10+ years,665
13000,12850,0.1038,36,debt_consolidation,11.72%,VA,MORTGAGE,10533.33,725-729,13,37252,0,< 1 year,725
35000,35000,0.247,60,debt_consolidation,8.26%,AL,MORTGAGE,10000,660-664,12,21391,2,10+ years,660
20800,20775,0.0662,36,credit_card,15.64%,CA,MORTGAGE,10833.33,710-714,11,15192,0,10+ years,710
1600,1600,0.1629,36,debt_consolidation,7.80%,OR,RENT,2666.67,660-664,7,5504,2,6 years,660
10050,9900,0.0603,36,small_business,20.72%,TX,RENT,2500,750-754,11,13669,0,9 years,750
8000,7997.85,0.1799,36,debt_consolidation,21.11%,CA,MORTGAGE,8583.33,670-674,15,14584,3,5 years,670
16000,16000,0.1212,36,debt_consolidation,24.30%,CT,RENT,6250,715-719,8,10304,2,< 1 year,715
11700,11675,0.079,36,home_improvement,5.63%,CA,MORTGAGE,3320.83,720-724,11,14301,0,10+ years,720
13475,13475,0.1212,36,debt_consolidation,28.27%,FL,MORTGAGE,5666.67,705-709,12,7722,1,7 years,705
14500,14500,0.0542,36,home_improvement,7.15%,OH,MORTGAGE,10000,800-804,9,40,0,10+ years,800
5000,5000,0.1461,36,other,6.36%,CA,RENT,3083.33,665-669,8,4680,4,5 years,665
13600,13575,0.0662,36,debt_consolidation,17.31%,CA,MORTGAGE,11250,750-754,11,77377,1,4 years,750
2200,2200,0.089,36,debt_consolidation,14.02%,CA,RENT,7083.33,715-719,10,14980,1,10+ years,715
9000,9000,0.0976,36,credit_card,18.67%,NY,MORTGAGE,5833.33,705-709,12,12035,0,10+ years,705
27925,27925,0.2247,60,debt_consolidation,3.94%,FL,MORTGAGE,7000,685-689,14,9914,2,n/a,685
9450,9450,0.1433,36,debt_consolidation,24.51%,NY,RENT,2916.67,670-674,12,11555,0,4 years,670
15175,15175,0.2025,60,debt_consolidation,18.78%,WA,RENT,4333.33,665-669,6,18049,0,8 years,665
10000,10000,0.0749,36,debt_consolidation,7.77%,AZ,RENT,3166.67,735-739,4,0,0,1 year,735
16000,16000,0.1629,36,debt_consolidation,20.62%,FL,RENT,5416.67,680-684,13,14246,1,< 1 year,680
13200,13200,0.1531,36,debt_consolidation,8.61%,KY,MORTGAGE,3333.33,680-684,10,5400,3,10+ years,680
20000,20000,0.1875,60,other,6.30%,PA,RENT,15416.67,695-699,13,15026,3,< 1 year,695
8500,8500,0.1777,36,other,18%,MI,RENT,2583.33,665-669,9,13718,0,2 years,665
3000,3000,0.1427,36,debt_consolidation,10.77%,NY,OWN,3833,670-674,11,5515,1,< 1 year,670
10000,10000,0.1531,36,credit_card,18.99%,FL,MORTGAGE,5583.33,675-679,16,12723,1,2 years,675
14075,14075,0.1629,36,debt_consolidation,11.02%,NY,MORTGAGE,10416.67,700-704,10,7653,3,10+ years,700
19000,19000,0.1972,60,credit_card,19.85%,NY,RENT,4500,680-684,13,11388,1,3 years,680
25000,11696.88,0.1284,36,small_business,5.52%,IL,MORTGAGE,8666.67,760-764,9,1900,4,10+ years,760
9000,9000,0.1311,36,credit_card,23.88%,GA,MORTGAGE,4229.17,685-689,11,7496,0,1 year,685
6775,6775,0.1311,36,debt_consolidation,10.20%,NC,RENT,6666.67,685-689,14,5457,2,< 1 year,685
2200,2200,0.1523,36,debt_consolidation,16.20%,CA,RENT,2500,675-679,7,2476,2,2 years,675
10800,10550,0.08,36,home_improvement,6.82%,CA,MORTGAGE,11250,790-794,7,10232,2,< 1 year,790
16800,16800,0.1433,60,debt_consolidation,21.75%,WV,MORTGAGE,6666.67,675-679,14,23740,0,1 year,675
3500,3500,0.1562,36,home_improvement,14.41%,GA,MORTGAGE,6833.33,660-664,7,11526,3,8 years,660
9250,9250,0.1879,60,debt_consolidation,19.27%,AK,MORTGAGE,4448,660-664,9,22704,0,10+ years,660
23400,23400,0.0749,36,debt_consolidation,15.66%,TX,RENT,5580,740-744,6,2086,0,1 year,740
10375,10375,0.079,36,debt_consolidation,27.64%,MD,MORTGAGE,4500,745-749,7,0,0,5 years,745
9325,9300,0.1409,36,debt_consolidation,21.35%,DC,RENT,3333.33,695-699,10,27007,1,< 1 year,695
18000,18000,0.2148,60,debt_consolidation,15.82%,NY,RENT,6500,665-669,10,4256,0,10+ years,665
5375,5375,0.089,36,debt_consolidation,29.48%,NC,RENT,3416.67,720-724,6,3007,2,< 1 year,720
3700,3700,0.158,36,credit_card,32.20%,NY,RENT,3000,690-694,9,14151,0,1 year,690
19125,19125,0.1849,36,debt_consolidation,9.10%,MA,RENT,4166.67,675-679,8,19761,3,10+ years,675
1625,1625,0.1531,36,major_purchase,4.32%,TX,OWN,1666.67,745-749,3,1759,4,3 years,745
26000,25975,0.1677,60,home_improvement,11.77%,NC,MORTGAGE,4416.67,730-734,5,7560,1,10+ years,730
6650,6650,0.1825,60,debt_consolidation,17.12%,OH,MORTGAGE,3084,680-684,16,5646,2,3 years,680
1000,1000,0.1149,36,debt_consolidation,21.36%,CA,RENT,4666.67,670-674,16,26558,0,10+ years,670
18000,17896.62,0.1442,36,wedding,7.89%,TX,MORTGAGE,5833.33,720-724,5,18505,1,3 years,720
8000,7975,0.1284,36,wedding,16.73%,TX,MORTGAGE,3521,680-684,13,4075,0,3 years,680
4575,4575,0.1565,36,credit_card,14.31%,MS,OTHER,5833.33,680-684,25,82586,2,2 years,680
35000,34950,0.2197,60,debt_consolidation,19.32%,RI,MORTGAGE,14166.67,690-694,14,51314,3,3 years,690
10000,10000,0.1212,36,debt_consolidation,12.46%,CA,MORTGAGE,4375,695-699,7,11070,0,5 years,695
32350,32350,0.1849,36,debt_consolidation,20.14%,CT,OWN,6000,660-664,15,39513,1,3 years,660
16000,16000,0.1298,36,debt_consolidation,15.86%,CA,MORTGAGE,3600,700-704,9,26357,2,3 years,700
13750,13750,0.1409,36,credit_card,24.77%,CA,RENT,3000,690-694,12,16734,1,1 year,690
5600,5600,0.1114,36,credit_card,27.96%,NC,MORTGAGE,11666.67,665-669,18,194205,0,10+ years,665
21000,20950,0.2376,60,debt_consolidation,24.82%,KS,RENT,7458.33,660-664,14,11973,0,10+ years,660
12000,12000,0.079,36,home_improvement,21.99%,MN,MORTGAGE,5416.67,730-734,8,28146,0,10+ years,730
12000,12000,0.1349,36,debt_consolidation,16.29%,NV,MORTGAGE,6250,680-684,13,13528,1,7 years,680
3600,3600,0.1399,36,other,10%,NY,RENT,5750,670-674,8,10766,2,4 years,670
25000,15175,0.1632,60,debt_consolidation,22.19%,PA,MORTGAGE,7083.33,705-709,8,9133,0,4 years,705
